deal_id,deal_titulo,deal_etapa,tarefa_id,tarefa_titulo,grupo_id,data_criacao,status
148929,Lo Scopo,C1:LOSE,157339,Execução de Serviço | Redes Sociais - Lo Scopo,523,2025-10-24T15:24:16-03:00,5
148929,Lo Scopo,C1:LOSE,157341,Execução de Serviço | Landing Page - Tráfego Pago - Lo Scopo,519,2025-10-24T15:24:16-03:00,5
152269,Tubarão Ferramentas,C1:LOSE,159727,Execução de Serviço | Landing Page - Tráfego Pago - Tubarão Ferramentas,519,2025-11-03T13:09:49-03:00,5
157441,Pulveriza Drones,C1:LOSE,160895,Execução de Serviço | Landing Page Sites - Pulveriza Drones,519,2025-11-07T16:28:19-03:00,5
162569,Lilian Fantato,C1:LOSE,166739,Execução de Serviço | Redes Sociais - Lilian Fantato,523,2025-12-01T18:22:32-03:00,5
162569,Lilian Fantato,C1:LOSE,166741,Execução de Serviço | Landing Page - Tráfego Pago - Lilian Fantato,519,2025-12-01T18:22:33-03:00,5
166453,Tocantins Brasil Vistorias Cauterales,C1:LOSE,166173,Execução de Serviço | Landing Page - Tráfego Pago - Tocantins Brasil Vistorias Cauterales,519,2025-12-01T10:29:08-03:00,5
173729,Grupo Barcellos,C1:LOSE,171997,Execução de Serviço | Redes Sociais - Grupo Barcellos,523,2025-12-22T15:55:22-03:00,5
173729,Grupo Barcellos,C1:LOSE,171999,Execução de Serviço | Landing Page - Tráfego Pago - Grupo Barcellos,519,2025-12-22T15:55:23-03:00,5
101173,Ótica Santa Maria,C1:LOSE,129865,Execução de Serviço | Landing Page Sites - Ótica Santa Maria,519,2025-07-11T15:39:52-03:00,5
173497,Óticas Bamboo Brasil,C1:LOSE,171439,Execução de Serviço | Landing Page - Tráfego Pago - Óticas Bamboo Brasil,519,2025-12-22T09:44:26-03:00,5
173505,Ótica Stephanie,C1:LOSE,171463,Execução de Serviço | Landing Page - Tráfego Pago - Ótica Stephanie,519,2025-12-22T10:00:40-03:00,5
87531,LIMAS MOVIMENTO PILATES CLASSICO,C1:LOSE,123413,Execução de Serviço | Landing Page - Tráfego Pago - LIMAS MOVIMENTO PILATES CLASSICO,519,2025-06-13T15:33:39-03:00,5
116643,VelControle ,C1:LOSE,140503,Execução de Serviço | Redes Sociais - VelControle,523,2025-08-21T09:31:55-03:00,5
116643,VelControle ,C1:LOSE,140505,Execução de Serviço | Landing Page - Tráfego Pago - VelControle,519,2025-08-21T09:31:56-03:00,5
116861,Pedrão Tacógrafos,C1:LOSE,140511,Execução de Serviço | Redes Sociais - Pedrão Tacógrafos,523,2025-08-21T09:34:34-03:00,5
116861,Pedrão Tacógrafos,C1:LOSE,140513,Execução de Serviço | Landing Page - Tráfego Pago - Pedrão Tacógrafos,519,2025-08-21T09:34:35-03:00,5
118175,G Vel Diesel & Transportes ,C1:LOSE,140873,Execução de Serviço | Redes Sociais - G Vel Diesel & Transportes,523,2025-08-21T18:01:22-03:00,5
118175,G Vel Diesel & Transportes ,C1:LOSE,140875,Execução de Serviço | Landing Page - Tráfego Pago - G Vel Diesel & Transportes,519,2025-08-21T18:01:24-03:00,5
152243,Jaqueline Melo Tarapfit,C1:LOSE,157891,Execução de Serviço | Landing Page - Tráfego Pago - Jaqueline Melo Tarapfit,519,2025-10-27T16:25:54-03:00,5
